2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	273	 Ures: 	4.6642093366e-04	 Vres: 	4.0343869122e-04	 
Iteration no:	274	 Ures: 	4.6384398382e-04	 Vres: 	4.0125468026e-04	 
Iteration no:	275	 Ures: 	4.6127547530e-04	 Vres: 	3.9908387940e-04	 
Iteration no:	276	 Ures: 	4.5871257440e-04	 Vres: 	3.9693128555e-04	 
Iteration no:	277	 Ures: 	4.5615322591e-04	 Vres: 	3.9479985891e-04	 
Iteration no:	278	 Ures: 	4.5359642981e-04	 Vres: 	3.9269023718e-04	 
Iteration no:	279	 Ures: 	4.5104274508e-04	 Vres: 	3.9060056521e-04	 
Iteration no:	280	 Ures: 	4.4849410171e-04	 Vres: 	3.8852711645e-04	 
Iteration no:	281	 Ures: 	4.4595372068e-04	 Vres: 	3.8646484802e-04	 
Iteration no:	282	 Ures: 	4.4342545041e-04	 Vres: 	3.8440848362e-04	 
Iteration no:	283	 Ures: 	4.4091338563e-04	 Vres: 	3.8235333650e-04	 
Iteration no:	284	 Ures: 	4.3842117930e-04	 Vres: 	3.8029637974e-04	 
Iteration no:	285	 Ures: 	4.3595179267e-04	 Vres: 	3.7823676590e-04	 
Iteration no:	286	 Ures: 	4.3350705667e-04	 Vres: 	3.7617620868e-04	 
Iteration no:	287	 Ures: 	4.3108765502e-04	 Vres: 	3.7411856520e-04	 
Iteration no:	288	 Ures: 	4.2869295296e-04	 Vres: 	3.7206919613e-04	 
Iteration no:	289	 Ures: 	4.2632125670e-04	 Vres: 	3.7003378704e-04	 
Iteration no:	290	 Ures: 	4.2397000359e-04	 Vres: 	3.6801738794e-04	 
Iteration no:	291	 Ures: 	4.2163636552e-04	 Vres: 	3.6602347264e-04	 
Iteration no:	292	 Ures: 	4.1931770750e-04	 Vres: 	3.6405360281e-04	 
Iteration no:	293	 Ures: 	4.1701220708e-04	 Vres: 	3.6210730882e-04	 
Iteration no:	294	 Ures: 	4.1471907024e-04	 Vres: 	3.6018248948e-04	 
Iteration no:	295	 Ures: 	4.1243865422e-04	 Vres: 	3.5827584792e-04	 
Iteration no:	296	 Ures: 	4.1017213352e-04	 Vres: 	3.5638359717e-04	 
Iteration no:	297	 Ures: 	4.0792115351e-04	 Vres: 	3.5450203747e-04	 
Iteration no:	298	 Ures: 	4.0568727818e-04	 Vres: 	3.5262823766e-04	 
Iteration no:	299	 Ures: 	4.0347165792e-04	 Vres: 	3.5076045972e-04	 
